,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGEMP,Pre,Post,AI,AIPost,num_patents
14,14,2009,436010,832,-0.5164774003411671,-0.2129140645987512,-0.0408390581811177,3.808447606834791,9.746424301956267,1,0,1,0,2.25
15,15,2010,436010,812,-0.5901401173405996,-0.1590184101187907,-0.015631090984136488,3.7694714614442395,11.392507711491088,1,0,1,0,2.335
16,16,2010,436010,831,-0.5253859044467015,-0.3232089073118381,-0.03673929869640059,3.830478565287061,12.149396468336617,1,0,1,0,2.335
17,17,2010,436010,832,-0.6485211447416246,-0.21027572670281686,-0.03989521337009881,3.851046208929431,9.876013575535373,1,0,1,0,2.335
18,18,2011,436010,812,-0.6423561818128679,-0.1276098710981082,-0.021224522871278743,3.817600567057986,11.367032264789826,1,0,1,0,2.404
19,19,2011,436010,831,-0.5508776716639715,-0.30886715619679667,-0.03959097638642301,3.853534456746593,12.107963552419854,1,0,1,0,2.404
20,20,2011,436010,832,-0.6905476123571325,-0.20384227131755783,-0.004280656660295888,3.851684487258473,9.614671504043145,1,0,1,0,2.404
21,21,2012,436010,812,-0.5951808716999145,-0.14445747506211185,-0.03210427867436965,3.828192794404808,11.351699816471006,1,0,1,0,2.719
22,22,2012,436010,831,-0.5084359450819654,-0.3569987597934077,-0.04098315837948073,3.8418809854819282,12.183157078059423,1,0,1,0,2.719
23,23,2012,436010,832,-0.7025258436949505,-0.19530990348934577,-0.021062153213646625,3.866596408886678,9.742907917860578,1,0,1,0,2.719
24,24,2013,436010,812,-0.6141231477611965,-0.1401388229061075,-0.03812427408648553,3.8026539501039336,11.336927869712962,0,1,1,1,2.98
25,25,2013,436010,831,-0.5235383335626363,-0.330226710131181,-0.0380002411488509,3.850433595706134,12.147897832979071,0,1,1,1,2.98
26,26,2013,436010,832,-0.7868445102416608,-0.178151160520228,-0.048823332215339646,3.847817762080695,9.80311457838934,0,1,1,1,2.98
27,27,2014,436010,812,-0.6144517537440162,-0.1642912569822117,-0.024155794934687405,3.8043952364255675,11.273779556178512,0,1,1,1,3.247
28,28,2014,436010,831,-0.5255262228858059,-0.31459460741709305,-0.04679747805363155,3.852529014218645,12.11429173053774,0,1,1,1,3.247
29,29,2014,436010,832,-0.48550781578170077,-0.2496537532059885,-0.028116066024650502,3.840269434484214,9.690232448972248,0,1,1,1,3.247
30,30,2015,436010,812,-0.5310706202018493,-0.15384564105528425,-0.03820302433870736,3.787916656177944,11.307105981664213,0,1,1,1,3.451
31,31,2015,436010,831,-0.5167595946987524,-0.3398898733691443,-0.052987795905127706,3.848445473639528,12.066045918102548,0,1,1,1,3.451
32,32,2015,436010,832,-0.5974208851172997,-0.23641333589177602,-0.025691637998555943,3.817333322730841,9.852352140421358,0,1,1,1,3.451
33,33,2016,436010,812,-0.5739047036511817,-0.18410022355715222,-0.049510069584387556,3.802379827978319,11.128570951924754,0,1,1,1,4.496
34,34,2016,436010,831,-0.5055842684871039,-0.31084736527000983,-0.049596845331112825,3.8494858117805646,12.083379449743735,0,1,1,1,4.496
35,35,2016,436010,832,-0.6641119271610196,-0.15139322294429003,-0.026810894381539167,3.8718171918381024,9.613736674915236,0,1,1,1,4.496
36,36,2017,436010,812,-0.5403747541516245,-0.1681961809897207,-0.028603191402837562,3.8143509297613587,11.236130578115505,0,1,1,1,4.432
37,37,2017,436010,831,-0.47536902060947617,-0.3747809125733268,-0.048954606903092286,3.8565438531079175,11.976879582764406,0,1,1,1,4.432
38,38,2017,436010,832,-0.5798877869189147,-0.23927884819887354,-0.13306379942208169,3.8360783151023914,9.7107519573933,0,1,1,1,4.432
