,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGEMP,Pre,Post,AI,AIPost,num_patents
22,22,2012,311010,831,-0.5845914373823415,-0.5593754397224661,-0.24085747157507506,3.7433162239646465,12.857803905230528,1,0,0,0,2.719
23,23,2012,311010,832,-1.007344707516457,-0.6258448998392847,-0.10151003183045243,3.7049150322057454,12.973273868218214,1,0,0,0,2.719
24,24,2013,311010,812,-0.4291221765251423,-0.3538966610620674,-0.1186654457519372,3.696625297197657,10.369953682201691,0,1,0,0,2.98
25,25,2013,311010,831,-0.5884734552351206,-0.5951077848996356,-0.279393326225509,3.7384275074939985,12.87481186048395,0,1,0,0,2.98
26,26,2013,311010,832,-0.9657351088736383,-0.6330517012213257,-0.10285059622523984,3.708856769156215,13.012577528833255,0,1,0,0,2.98
27,27,2014,311010,812,-0.4726949666343691,-0.3594603108349112,-0.1660707647510981,3.6562701705483085,10.023357298386513,0,1,0,0,3.247
28,28,2014,311010,831,-0.6040976513709576,-0.6307761747559891,-0.23598158454098417,3.7191235621305347,12.621989608872143,0,1,0,0,3.247
29,29,2014,311010,832,-1.0043500247788648,-0.6902085240598274,-0.10080473567162578,3.7213498173276744,12.934939224480805,0,1,0,0,3.247
30,30,2015,311010,812,-0.5496871462333421,-0.4093939550315122,-0.09449123812019022,3.694845663392507,10.03561170546317,0,1,0,0,3.451
31,31,2015,311010,831,-0.5934447670483051,-0.6789829111090396,-0.22648896291065293,3.725080146911162,12.623495968333003,0,1,0,0,3.451
32,32,2015,311010,832,-1.000604813026478,-0.7172428210745594,-0.09990989576795892,3.717431522034686,12.950784708594279,0,1,0,0,3.451
33,33,2016,311010,812,-0.457938308389496,-0.3239400143940733,-0.08721765825486538,3.717651484926244,9.95967883218587,0,1,0,0,4.496
34,34,2016,311010,831,-0.624548424595964,-0.704089017583684,-0.22837071119733346,3.7194863093084574,12.657730897674712,0,1,0,0,4.496
35,35,2016,311010,832,-1.0578903127328803,-0.6878536541335245,-0.09444574795097224,3.7179371359626003,12.893065929651543,0,1,0,0,4.496
36,36,2017,311010,812,-0.5112615554406054,-0.3153837568063061,-0.11395975797160188,3.660865120666658,10.105366608545614,0,1,0,0,4.432
37,37,2017,311010,831,-0.5496188602196717,-0.6377613909505321,-0.26242714410331286,3.7055567876233284,12.67005191470422,0,1,0,0,4.432
38,38,2017,311010,832,-1.0254267047248524,-0.7428040413486764,-0.09257938203559982,3.7110236222880344,12.857293054862083,0,1,0,0,4.432
